id,liked,personalized,song_id,spotify_popularity,timestamp,user_id
0,0,1,32192,87,2019-06-21 01:04:23,3720277
1,0,1,6801,45,2019-06-21 01:04:33,3720277
2,0,1,31643,62,2019-06-21 01:04:35,3720277
3,0,1,1864239,72,2019-06-21 01:04:48,3720277
4,0,1,38804,73,2019-06-21 01:05:13,3720277
5,0,1,1788945,69,2019-06-21 01:05:47,3720277
6,0,1,7118,59,2019-06-21 01:05:49,3720277
7,0,1,3321467,60,2019-06-21 01:05:51,3720277
8,1,1,28739,85,2019-06-21 01:05:56,3720277
9,0,1,1028,69,2019-06-21 01:06:05,3720277
10,0,1,7355,80,2019-06-21 01:06:55,3720277
11,1,1,1886589,68,2019-06-21 01:07:04,3720277
12,0,1,254,91,2019-06-21 01:07:29,3720277
13,1,1,38729,60,2019-06-21 01:08:43,3720277
14,0,1,1826987,62,2019-06-21 01:08:50,3720277
15,1,1,2290955,73,2019-06-21 01:09:08,3720277
16,0,1,4771945,60,2019-06-21 01:09:17,3720277
17,0,1,38666,15,2019-06-21 01:09:24,3720277
18,0,1,2878565,60,2019-06-21 01:09:30,3720277
19,1,1,91297,82,2019-06-21 01:09:57,3720277
20,0,1,1875980,65,2019-06-21 01:11:49,3720277
21,0,1,4201274,57,2019-06-21 01:12:17,3720277
22,0,1,4216698,66,2019-06-21 01:12:26,3720277
23,1,1,31887,56,2019-06-21 01:16:03,3720670
24,0,1,1916580,62,2019-06-21 01:18:51,3720277
25,0,1,37631,71,2019-06-21 01:18:56,3720277
26,0,1,6081,70,2019-06-21 01:19:02,3720277
27,0,1,1828986,56,2019-06-21 01:19:07,3720277
28,0,1,155006,53,2019-06-21 01:19:14,3721232
29,0,1,1804425,75,2019-06-21 01:19:15,3720277
30,0,1,7069,59,2019-06-21 01:19:27,3721232
31,0,1,10298,70,2019-06-21 01:19:27,3721232
32,0,1,596658,40,2019-06-21 01:19:27,3721232
33,0,1,4405563,39,2019-06-21 01:19:27,3721232
34,0,1,2975194,64,2019-06-21 01:19:34,3720277
35,0,1,14726,73,2019-06-21 01:19:43,3720277
36,0,1,4056,86,2019-06-21 01:19:45,3720277
37,0,1,1892220,52,2019-06-21 01:19:47,3721232
